method,test_id,metric_name,value,timestamp
Full Context,auth-04,hallucination_rate,0.0,2026-01-22T12:52:23.523227
Full Context,auth-04,consistency_score,0.5120967741935484,2026-01-22T12:52:23.523227
Full Context,auth-04,authority_preservation,1.0,2026-01-22T12:52:23.523227
Full Context,auth-04,scope_adherence,1.0,2026-01-22T12:52:23.523227
Full Context,auth-04,versioning_correctness,0.0,2026-01-22T12:52:23.523227
Full Context,auth-04,dependency_tracking,1.0,2026-01-22T12:52:23.523227
Single RAG,auth-04,hallucination_rate,0.0,2026-01-22T12:52:39.295898
Single RAG,auth-04,consistency_score,1.0,2026-01-22T12:52:39.295898
Single RAG,auth-04,authority_preservation,1.0,2026-01-22T12:52:39.295898
Single RAG,auth-04,scope_adherence,1.0,2026-01-22T12:52:39.295898
Single RAG,auth-04,versioning_correctness,0.0,2026-01-22T12:52:39.295898
Single RAG,auth-04,dependency_tracking,1.0,2026-01-22T12:52:39.295898
Dual RAG,auth-04,hallucination_rate,0.0,2026-01-22T12:52:54.788382
Dual RAG,auth-04,consistency_score,1.0,2026-01-22T12:52:54.788382
Dual RAG,auth-04,authority_preservation,1.0,2026-01-22T12:52:54.788382
Dual RAG,auth-04,scope_adherence,1.0,2026-01-22T12:52:54.788382
Dual RAG,auth-04,versioning_correctness,1.0,2026-01-22T12:52:54.788382
Dual RAG,auth-04,dependency_tracking,1.0,2026-01-22T12:52:54.788382
Full Context,auth-05,hallucination_rate,0.0,2026-01-22T12:53:01.247453
Full Context,auth-05,consistency_score,0.535483870967742,2026-01-22T12:53:01.247453
Full Context,auth-05,authority_preservation,1.0,2026-01-22T12:53:01.247453
Full Context,auth-05,scope_adherence,1.0,2026-01-22T12:53:01.247453
Full Context,auth-05,versioning_correctness,0.0,2026-01-22T12:53:01.247453
Full Context,auth-05,dependency_tracking,0.0,2026-01-22T12:53:01.247453
Single RAG,auth-05,hallucination_rate,0.0,2026-01-22T12:53:15.985335
Single RAG,auth-05,consistency_score,0.5880376344086021,2026-01-22T12:53:15.985335
Single RAG,auth-05,authority_preservation,1.0,2026-01-22T12:53:15.985335
Single RAG,auth-05,scope_adherence,1.0,2026-01-22T12:53:15.985335
Single RAG,auth-05,versioning_correctness,0.0,2026-01-22T12:53:15.985335
Single RAG,auth-05,dependency_tracking,0.0,2026-01-22T12:53:15.985335
Dual RAG,auth-05,hallucination_rate,0.0,2026-01-22T12:53:29.732630
Dual RAG,auth-05,consistency_score,0.5897435897435898,2026-01-22T12:53:29.732630
Dual RAG,auth-05,authority_preservation,1.0,2026-01-22T12:53:29.732630
Dual RAG,auth-05,scope_adherence,1.0,2026-01-22T12:53:29.732630
Dual RAG,auth-05,versioning_correctness,1.0,2026-01-22T12:53:29.732630
Dual RAG,auth-05,dependency_tracking,0.0,2026-01-22T12:53:29.732630
Full Context,hall-01,hallucination_rate,0.0,2026-01-22T12:53:33.652937
Full Context,hall-01,consistency_score,1.0,2026-01-22T12:53:33.652937
Full Context,hall-01,authority_preservation,1.0,2026-01-22T12:53:33.652937
Full Context,hall-01,scope_adherence,1.0,2026-01-22T12:53:33.652937
Full Context,hall-01,versioning_correctness,0.0,2026-01-22T12:53:33.652937
Full Context,hall-01,dependency_tracking,1.0,2026-01-22T12:53:33.652937
Single RAG,hall-01,hallucination_rate,0.0,2026-01-22T12:53:46.688416
Single RAG,hall-01,consistency_score,1.0,2026-01-22T12:53:46.688416
Single RAG,hall-01,authority_preservation,1.0,2026-01-22T12:53:46.688416
Single RAG,hall-01,scope_adherence,1.0,2026-01-22T12:53:46.688416
Single RAG,hall-01,versioning_correctness,0.0,2026-01-22T12:53:46.688416
Single RAG,hall-01,dependency_tracking,1.0,2026-01-22T12:53:46.688416
Dual RAG,hall-01,hallucination_rate,0.0,2026-01-22T12:54:04.709710
Dual RAG,hall-01,consistency_score,0.6555075593952484,2026-01-22T12:54:04.709710
Dual RAG,hall-01,authority_preservation,1.0,2026-01-22T12:54:04.709710
Dual RAG,hall-01,scope_adherence,1.0,2026-01-22T12:54:04.709710
Dual RAG,hall-01,versioning_correctness,1.0,2026-01-22T12:54:04.709710
Dual RAG,hall-01,dependency_tracking,0.0,2026-01-22T12:54:04.709710
Full Context,hall-02,hallucination_rate,0.0,2026-01-22T12:54:15.789629
Full Context,hall-02,consistency_score,1.0,2026-01-22T12:54:15.789629
Full Context,hall-02,authority_preservation,1.0,2026-01-22T12:54:15.789629
Full Context,hall-02,scope_adherence,1.0,2026-01-22T12:54:15.789629
Full Context,hall-02,versioning_correctness,0.0,2026-01-22T12:54:15.789629
Full Context,hall-02,dependency_tracking,0.0,2026-01-22T12:54:15.789629
Single RAG,hall-02,hallucination_rate,0.0,2026-01-22T12:54:34.143430
Single RAG,hall-02,consistency_score,0.5414492753623188,2026-01-22T12:54:34.143430
Single RAG,hall-02,authority_preservation,1.0,2026-01-22T12:54:34.143430
Single RAG,hall-02,scope_adherence,1.0,2026-01-22T12:54:34.143430
Single RAG,hall-02,versioning_correctness,0.0,2026-01-22T12:54:34.143430
Single RAG,hall-02,dependency_tracking,0.0,2026-01-22T12:54:34.143430
Dual RAG,hall-02,hallucination_rate,0.0,2026-01-22T12:54:50.411049
Dual RAG,hall-02,consistency_score,1.0,2026-01-22T12:54:50.411049
Dual RAG,hall-02,authority_preservation,1.0,2026-01-22T12:54:50.411049
Dual RAG,hall-02,scope_adherence,1.0,2026-01-22T12:54:50.411049
Dual RAG,hall-02,versioning_correctness,1.0,2026-01-22T12:54:50.411049
Dual RAG,hall-02,dependency_tracking,0.0,2026-01-22T12:54:50.411049
Full Context,hall-03,hallucination_rate,0.0,2026-01-22T12:55:00.305625
Full Context,hall-03,consistency_score,1.0,2026-01-22T12:55:00.305625
Full Context,hall-03,authority_preservation,1.0,2026-01-22T12:55:00.305625
Full Context,hall-03,scope_adherence,1.0,2026-01-22T12:55:00.305625
Full Context,hall-03,versioning_correctness,0.0,2026-01-22T12:55:00.305625
Full Context,hall-03,dependency_tracking,1.0,2026-01-22T12:55:00.305625
Single RAG,hall-03,hallucination_rate,0.0,2026-01-22T12:55:14.776770
Single RAG,hall-03,consistency_score,0.5196078431372549,2026-01-22T12:55:14.776770
Single RAG,hall-03,authority_preservation,1.0,2026-01-22T12:55:14.776770
Single RAG,hall-03,scope_adherence,1.0,2026-01-22T12:55:14.776770
Single RAG,hall-03,versioning_correctness,0.0,2026-01-22T12:55:14.776770
Single RAG,hall-03,dependency_tracking,1.0,2026-01-22T12:55:14.776770
Dual RAG,hall-03,hallucination_rate,0.0,2026-01-22T12:55:31.410461
Dual RAG,hall-03,consistency_score,0.6505576208178439,2026-01-22T12:55:31.410461
Dual RAG,hall-03,authority_preservation,1.0,2026-01-22T12:55:31.410461
Dual RAG,hall-03,scope_adherence,1.0,2026-01-22T12:55:31.410461
Dual RAG,hall-03,versioning_correctness,1.0,2026-01-22T12:55:31.410461
Dual RAG,hall-03,dependency_tracking,1.0,2026-01-22T12:55:31.410461
Full Context,hall-04,hallucination_rate,0.0,2026-01-22T12:55:37.370643
Full Context,hall-04,consistency_score,1.0,2026-01-22T12:55:37.370643
Full Context,hall-04,authority_preservation,1.0,2026-01-22T12:55:37.370643
Full Context,hall-04,scope_adherence,1.0,2026-01-22T12:55:37.370643
Full Context,hall-04,versioning_correctness,0.0,2026-01-22T12:55:37.370643
Full Context,hall-04,dependency_tracking,0.0,2026-01-22T12:55:37.370643
Single RAG,hall-04,hallucination_rate,0.0,2026-01-22T12:55:50.756371
Single RAG,hall-04,consistency_score,1.0,2026-01-22T12:55:50.756371
Single RAG,hall-04,authority_preservation,1.0,2026-01-22T12:55:50.756371
Single RAG,hall-04,scope_adherence,1.0,2026-01-22T12:55:50.756371
Single RAG,hall-04,versioning_correctness,0.0,2026-01-22T12:55:50.756371
Single RAG,hall-04,dependency_tracking,0.0,2026-01-22T12:55:50.756371
Dual RAG,hall-04,hallucination_rate,0.0,2026-01-22T12:56:13.906757
Dual RAG,hall-04,consistency_score,1.0,2026-01-22T12:56:13.906757
Dual RAG,hall-04,authority_preservation,1.0,2026-01-22T12:56:13.906757
Dual RAG,hall-04,scope_adherence,1.0,2026-01-22T12:56:13.906757
Dual RAG,hall-04,versioning_correctness,1.0,2026-01-22T12:56:13.906757
Dual RAG,hall-04,dependency_tracking,0.0,2026-01-22T12:56:13.906757
Full Context,hall-05,hallucination_rate,0.0,2026-01-22T12:56:21.358630
Full Context,hall-05,consistency_score,1.0,2026-01-22T12:56:21.358630
Full Context,hall-05,authority_preservation,1.0,2026-01-22T12:56:21.358630
Full Context,hall-05,scope_adherence,1.0,2026-01-22T12:56:21.358630
Full Context,hall-05,versioning_correctness,0.0,2026-01-22T12:56:21.358630
Full Context,hall-05,dependency_tracking,0.0,2026-01-22T12:56:21.358630
Single RAG,hall-05,hallucination_rate,0.0,2026-01-22T12:56:41.331236
Single RAG,hall-05,consistency_score,1.0,2026-01-22T12:56:41.331236
Single RAG,hall-05,authority_preservation,1.0,2026-01-22T12:56:41.331236
Single RAG,hall-05,scope_adherence,1.0,2026-01-22T12:56:41.331236
Single RAG,hall-05,versioning_correctness,0.0,2026-01-22T12:56:41.331236
Single RAG,hall-05,dependency_tracking,0.0,2026-01-22T12:56:41.331236
Dual RAG,hall-05,hallucination_rate,0.0,2026-01-22T12:57:05.973691
Dual RAG,hall-05,consistency_score,1.0,2026-01-22T12:57:05.973691
Dual RAG,hall-05,authority_preservation,1.0,2026-01-22T12:57:05.973691
Dual RAG,hall-05,scope_adherence,1.0,2026-01-22T12:57:05.973691
Dual RAG,hall-05,versioning_correctness,1.0,2026-01-22T12:57:05.973691
Dual RAG,hall-05,dependency_tracking,0.0,2026-01-22T12:57:05.973691
Full Context,cons-01,hallucination_rate,0.0,2026-01-22T12:57:22.103993
Full Context,cons-01,consistency_score,0.5258620689655172,2026-01-22T12:57:22.103993
Full Context,cons-01,authority_preservation,1.0,2026-01-22T12:57:22.103993
Full Context,cons-01,scope_adherence,1.0,2026-01-22T12:57:22.103993
Full Context,cons-01,versioning_correctness,0.0,2026-01-22T12:57:22.103993
Full Context,cons-01,dependency_tracking,0.0,2026-01-22T12:57:22.103993
Single RAG,cons-01,hallucination_rate,0.0,2026-01-22T12:57:33.903681
Single RAG,cons-01,consistency_score,1.0,2026-01-22T12:57:33.903681
Single RAG,cons-01,authority_preservation,1.0,2026-01-22T12:57:33.903681
Single RAG,cons-01,scope_adherence,1.0,2026-01-22T12:57:33.903681
Single RAG,cons-01,versioning_correctness,0.0,2026-01-22T12:57:33.903681
Single RAG,cons-01,dependency_tracking,1.0,2026-01-22T12:57:33.903681
Dual RAG,cons-01,hallucination_rate,0.0,2026-01-22T12:57:45.919071
Dual RAG,cons-01,consistency_score,1.0,2026-01-22T12:57:45.919071
Dual RAG,cons-01,authority_preservation,1.0,2026-01-22T12:57:45.919071
Dual RAG,cons-01,scope_adherence,1.0,2026-01-22T12:57:45.919071
Dual RAG,cons-01,versioning_correctness,1.0,2026-01-22T12:57:45.919071
Dual RAG,cons-01,dependency_tracking,1.0,2026-01-22T12:57:45.919071
Full Context,cons-02,hallucination_rate,0.0,2026-01-22T12:57:55.885349
Full Context,cons-02,consistency_score,1.0,2026-01-22T12:57:55.885349
Full Context,cons-02,authority_preservation,1.0,2026-01-22T12:57:55.885349
Full Context,cons-02,scope_adherence,1.0,2026-01-22T12:57:55.885349
Full Context,cons-02,versioning_correctness,0.0,2026-01-22T12:57:55.885349
Full Context,cons-02,dependency_tracking,0.0,2026-01-22T12:57:55.885349
Single RAG,cons-02,hallucination_rate,0.0,2026-01-22T12:58:10.563061
Single RAG,cons-02,consistency_score,1.0,2026-01-22T12:58:10.563061
Single RAG,cons-02,authority_preservation,1.0,2026-01-22T12:58:10.563061
Single RAG,cons-02,scope_adherence,1.0,2026-01-22T12:58:10.563061
Single RAG,cons-02,versioning_correctness,0.0,2026-01-22T12:58:10.563061
Single RAG,cons-02,dependency_tracking,0.0,2026-01-22T12:58:10.563061
Dual RAG,cons-02,hallucination_rate,0.0,2026-01-22T12:58:30.140123
Dual RAG,cons-02,consistency_score,0.7422934648581998,2026-01-22T12:58:30.140123
Dual RAG,cons-02,authority_preservation,1.0,2026-01-22T12:58:30.140123
Dual RAG,cons-02,scope_adherence,1.0,2026-01-22T12:58:30.140123
Dual RAG,cons-02,versioning_correctness,1.0,2026-01-22T12:58:30.140123
Dual RAG,cons-02,dependency_tracking,0.0,2026-01-22T12:58:30.140123
Full Context,cons-03,hallucination_rate,0.0,2026-01-22T12:58:34.297338
Full Context,cons-03,consistency_score,1.0,2026-01-22T12:58:34.297338
Full Context,cons-03,authority_preservation,1.0,2026-01-22T12:58:34.297338
Full Context,cons-03,scope_adherence,1.0,2026-01-22T12:58:34.297338
Full Context,cons-03,versioning_correctness,0.0,2026-01-22T12:58:34.297338
Full Context,cons-03,dependency_tracking,1.0,2026-01-22T12:58:34.297338
Single RAG,cons-03,hallucination_rate,0.0,2026-01-22T12:58:46.527502
Single RAG,cons-03,consistency_score,0.6605504587155964,2026-01-22T12:58:46.527502
Single RAG,cons-03,authority_preservation,1.0,2026-01-22T12:58:46.527502
Single RAG,cons-03,scope_adherence,1.0,2026-01-22T12:58:46.527502
Single RAG,cons-03,versioning_correctness,0.0,2026-01-22T12:58:46.527502
Single RAG,cons-03,dependency_tracking,1.0,2026-01-22T12:58:46.527502
Dual RAG,cons-03,hallucination_rate,0.0,2026-01-22T12:59:02.256154
Dual RAG,cons-03,consistency_score,1.0,2026-01-22T12:59:02.256154
Dual RAG,cons-03,authority_preservation,1.0,2026-01-22T12:59:02.256154
Dual RAG,cons-03,scope_adherence,1.0,2026-01-22T12:59:02.256154
Dual RAG,cons-03,versioning_correctness,1.0,2026-01-22T12:59:02.256154
Dual RAG,cons-03,dependency_tracking,1.0,2026-01-22T12:59:02.256154
Full Context,cons-04,hallucination_rate,0.0,2026-01-22T12:59:06.119766
Full Context,cons-04,consistency_score,1.0,2026-01-22T12:59:06.119766
Full Context,cons-04,authority_preservation,1.0,2026-01-22T12:59:06.119766
Full Context,cons-04,scope_adherence,1.0,2026-01-22T12:59:06.119766
Full Context,cons-04,versioning_correctness,0.0,2026-01-22T12:59:06.119766
Full Context,cons-04,dependency_tracking,1.0,2026-01-22T12:59:06.119766
Single RAG,cons-04,hallucination_rate,0.0,2026-01-22T12:59:17.504927
Single RAG,cons-04,consistency_score,1.0,2026-01-22T12:59:17.504927
Single RAG,cons-04,authority_preservation,1.0,2026-01-22T12:59:17.504927
Single RAG,cons-04,scope_adherence,1.0,2026-01-22T12:59:17.504927
Single RAG,cons-04,versioning_correctness,0.0,2026-01-22T12:59:17.504927
Single RAG,cons-04,dependency_tracking,1.0,2026-01-22T12:59:17.504927
Dual RAG,cons-04,hallucination_rate,0.0,2026-01-22T12:59:26.455957
Dual RAG,cons-04,consistency_score,0.0,2026-01-22T12:59:26.455957
Dual RAG,cons-04,authority_preservation,1.0,2026-01-22T12:59:26.455957
Dual RAG,cons-04,scope_adherence,1.0,2026-01-22T12:59:26.455957
Dual RAG,cons-04,versioning_correctness,1.0,2026-01-22T12:59:26.455957
Dual RAG,cons-04,dependency_tracking,0.0,2026-01-22T12:59:26.455957
Full Context,cons-05,hallucination_rate,0.0,2026-01-22T12:59:40.684761
Full Context,cons-05,consistency_score,0.5412319445900564,2026-01-22T12:59:40.684761
Full Context,cons-05,authority_preservation,1.0,2026-01-22T12:59:40.684761
Full Context,cons-05,scope_adherence,1.0,2026-01-22T12:59:40.684761
Full Context,cons-05,versioning_correctness,0.0,2026-01-22T12:59:40.684761
Full Context,cons-05,dependency_tracking,0.0,2026-01-22T12:59:40.684761
Single RAG,cons-05,hallucination_rate,0.0,2026-01-22T13:00:04.936463
Single RAG,cons-05,consistency_score,1.0,2026-01-22T13:00:04.936463
Single RAG,cons-05,authority_preservation,1.0,2026-01-22T13:00:04.936463
Single RAG,cons-05,scope_adherence,1.0,2026-01-22T13:00:04.936463
Single RAG,cons-05,versioning_correctness,0.0,2026-01-22T13:00:04.936463
Single RAG,cons-05,dependency_tracking,0.0,2026-01-22T13:00:04.936463
Dual RAG,cons-05,hallucination_rate,0.0,2026-01-22T13:00:16.497271
Dual RAG,cons-05,consistency_score,0.0,2026-01-22T13:00:16.497271
Dual RAG,cons-05,authority_preservation,1.0,2026-01-22T13:00:16.497271
Dual RAG,cons-05,scope_adherence,1.0,2026-01-22T13:00:16.497271
Dual RAG,cons-05,versioning_correctness,1.0,2026-01-22T13:00:16.497271
Dual RAG,cons-05,dependency_tracking,0.0,2026-01-22T13:00:16.497271
Full Context,scope-01,hallucination_rate,0.0,2026-01-22T13:00:28.212721
Full Context,scope-01,consistency_score,1.0,2026-01-22T13:00:28.212721
Full Context,scope-01,authority_preservation,1.0,2026-01-22T13:00:28.212721
Full Context,scope-01,scope_adherence,1.0,2026-01-22T13:00:28.212721
Full Context,scope-01,versioning_correctness,0.0,2026-01-22T13:00:28.212721
Full Context,scope-01,dependency_tracking,1.0,2026-01-22T13:00:28.212721
Single RAG,scope-01,hallucination_rate,0.0,2026-01-22T13:00:46.281309
Single RAG,scope-01,consistency_score,1.0,2026-01-22T13:00:46.281309
Single RAG,scope-01,authority_preservation,1.0,2026-01-22T13:00:46.281309
Single RAG,scope-01,scope_adherence,1.0,2026-01-22T13:00:46.281309
Single RAG,scope-01,versioning_correctness,0.0,2026-01-22T13:00:46.281309
Single RAG,scope-01,dependency_tracking,1.0,2026-01-22T13:00:46.281309
Dual RAG,scope-01,hallucination_rate,0.0,2026-01-22T13:01:01.997556
Dual RAG,scope-01,consistency_score,1.0,2026-01-22T13:01:01.997556
Dual RAG,scope-01,authority_preservation,1.0,2026-01-22T13:01:01.997556
Dual RAG,scope-01,scope_adherence,1.0,2026-01-22T13:01:01.997556
Dual RAG,scope-01,versioning_correctness,1.0,2026-01-22T13:01:01.997556
Dual RAG,scope-01,dependency_tracking,1.0,2026-01-22T13:01:01.997556
Full Context,scope-02,hallucination_rate,0.0,2026-01-22T13:01:06.668350
Full Context,scope-02,consistency_score,1.0,2026-01-22T13:01:06.668350
Full Context,scope-02,authority_preservation,1.0,2026-01-22T13:01:06.668350
Full Context,scope-02,scope_adherence,1.0,2026-01-22T13:01:06.668350
Full Context,scope-02,versioning_correctness,0.0,2026-01-22T13:01:06.668350
Full Context,scope-02,dependency_tracking,1.0,2026-01-22T13:01:06.668350
Single RAG,scope-02,hallucination_rate,0.0,2026-01-22T13:01:20.772950
Single RAG,scope-02,consistency_score,1.0,2026-01-22T13:01:20.772950
Single RAG,scope-02,authority_preservation,1.0,2026-01-22T13:01:20.772950
Single RAG,scope-02,scope_adherence,1.0,2026-01-22T13:01:20.772950
Single RAG,scope-02,versioning_correctness,0.0,2026-01-22T13:01:20.772950
Single RAG,scope-02,dependency_tracking,1.0,2026-01-22T13:01:20.772950
Dual RAG,scope-02,hallucination_rate,0.0,2026-01-22T13:01:41.282291
Dual RAG,scope-02,consistency_score,1.0,2026-01-22T13:01:41.282291
Dual RAG,scope-02,authority_preservation,1.0,2026-01-22T13:01:41.282291
Dual RAG,scope-02,scope_adherence,1.0,2026-01-22T13:01:41.282291
Dual RAG,scope-02,versioning_correctness,1.0,2026-01-22T13:01:41.282291
Dual RAG,scope-02,dependency_tracking,1.0,2026-01-22T13:01:41.282291
Full Context,scope-03,hallucination_rate,0.0,2026-01-22T13:01:47.121846
Full Context,scope-03,consistency_score,0.5155925155925156,2026-01-22T13:01:47.121846
Full Context,scope-03,authority_preservation,1.0,2026-01-22T13:01:47.121846
Full Context,scope-03,scope_adherence,1.0,2026-01-22T13:01:47.121846
Full Context,scope-03,versioning_correctness,0.0,2026-01-22T13:01:47.121846
Full Context,scope-03,dependency_tracking,0.0,2026-01-22T13:01:47.121846
Single RAG,scope-03,hallucination_rate,0.0,2026-01-22T13:02:02.830695
Single RAG,scope-03,consistency_score,0.5380434782608696,2026-01-22T13:02:02.830695
Single RAG,scope-03,authority_preservation,1.0,2026-01-22T13:02:02.830695
Single RAG,scope-03,scope_adherence,1.0,2026-01-22T13:02:02.830695
Single RAG,scope-03,versioning_correctness,0.0,2026-01-22T13:02:02.830695
Single RAG,scope-03,dependency_tracking,0.0,2026-01-22T13:02:02.830695
Dual RAG,scope-03,hallucination_rate,0.0,2026-01-22T13:02:19.245822
Dual RAG,scope-03,consistency_score,1.0,2026-01-22T13:02:19.245822
Dual RAG,scope-03,authority_preservation,1.0,2026-01-22T13:02:19.245822
Dual RAG,scope-03,scope_adherence,1.0,2026-01-22T13:02:19.245822
Dual RAG,scope-03,versioning_correctness,1.0,2026-01-22T13:02:19.245822
Dual RAG,scope-03,dependency_tracking,0.0,2026-01-22T13:02:19.245822
Full Context,scope-04,hallucination_rate,0.0,2026-01-22T13:02:39.922337
Full Context,scope-04,consistency_score,0.5072428778367938,2026-01-22T13:02:39.922337
Full Context,scope-04,authority_preservation,1.0,2026-01-22T13:02:39.922337
Full Context,scope-04,scope_adherence,1.0,2026-01-22T13:02:39.922337
Full Context,scope-04,versioning_correctness,0.0,2026-01-22T13:02:39.922337
Full Context,scope-04,dependency_tracking,0.0,2026-01-22T13:02:39.922337
Single RAG,scope-04,hallucination_rate,0.0,2026-01-22T13:03:04.332653
Single RAG,scope-04,consistency_score,1.0,2026-01-22T13:03:04.332653
Single RAG,scope-04,authority_preservation,1.0,2026-01-22T13:03:04.332653
Single RAG,scope-04,scope_adherence,1.0,2026-01-22T13:03:04.332653
Single RAG,scope-04,versioning_correctness,0.0,2026-01-22T13:03:04.332653
Single RAG,scope-04,dependency_tracking,0.0,2026-01-22T13:03:04.332653
Dual RAG,scope-04,hallucination_rate,0.0,2026-01-22T13:03:12.937445
Dual RAG,scope-04,consistency_score,0.0,2026-01-22T13:03:12.937445
Dual RAG,scope-04,authority_preservation,1.0,2026-01-22T13:03:12.937445
Dual RAG,scope-04,scope_adherence,1.0,2026-01-22T13:03:12.937445
Dual RAG,scope-04,versioning_correctness,1.0,2026-01-22T13:03:12.937445
Dual RAG,scope-04,dependency_tracking,0.0,2026-01-22T13:03:12.937445
Full Context,scope-05,hallucination_rate,0.0,2026-01-22T13:03:27.831032
Full Context,scope-05,consistency_score,0.6349775784753363,2026-01-22T13:03:27.831032
Full Context,scope-05,authority_preservation,1.0,2026-01-22T13:03:27.831032
Full Context,scope-05,scope_adherence,1.0,2026-01-22T13:03:27.831032
Full Context,scope-05,versioning_correctness,0.0,2026-01-22T13:03:27.831032
Full Context,scope-05,dependency_tracking,0.0,2026-01-22T13:03:27.831032
Single RAG,scope-05,hallucination_rate,0.0,2026-01-22T13:03:55.672542
Single RAG,scope-05,consistency_score,1.0,2026-01-22T13:03:55.672542
Single RAG,scope-05,authority_preservation,1.0,2026-01-22T13:03:55.672542
Single RAG,scope-05,scope_adherence,1.0,2026-01-22T13:03:55.672542
Single RAG,scope-05,versioning_correctness,0.0,2026-01-22T13:03:55.672542
Single RAG,scope-05,dependency_tracking,0.0,2026-01-22T13:03:55.672542
Dual RAG,scope-05,hallucination_rate,0.0,2026-01-22T13:04:26.708798
Dual RAG,scope-05,consistency_score,1.0,2026-01-22T13:04:26.708798
Dual RAG,scope-05,authority_preservation,1.0,2026-01-22T13:04:26.708798
Dual RAG,scope-05,scope_adherence,1.0,2026-01-22T13:04:26.708798
Dual RAG,scope-05,versioning_correctness,1.0,2026-01-22T13:04:26.708798
Dual RAG,scope-05,dependency_tracking,0.0,2026-01-22T13:04:26.708798
